year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1983,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5699,2.0,1.0,12.0,16.0,0.0,0.0,0.0,0.0,35.1,17.5,210.6,280.8,0.0,0.0,0.0,0.0
1983,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18342,15.0,0.0,101.0,258.0,17.0,0.0,2.0,3.0,81.8,0.0,550.6,1406.6,92.7,0.0,10.9,16.4
1983,9,17.0,Cass,8,Central,Mostly Rural,52.1,14662,9.0,0.0,10.0,124.0,3.0,0.0,1.0,0.0,61.4,0.0,68.2,845.7,20.5,0.0,6.8,0.0
1983,10,19.0,Champaign,6,Central,Mostly Urban,12.7,170311,776.0,61.0,3628.0,6750.0,326.0,9.0,297.0,57.0,455.6,35.8,2130.2,3963.3,191.4,5.3,174.4,33.5
1983,11,21.0,Christian,4,Central,Mostly Urban,43.5,36391,16.0,2.0,48.0,477.0,18.0,1.0,4.0,1.0,44.0,5.5,131.9,1310.8,49.5,2.7,11.0,2.7
1983,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16897,5.0,2.0,93.0,201.0,17.0,0.0,0.0,3.0,29.6,11.8,550.4,1189.6,100.6,0.0,0.0,17.8
1983,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15595,10.0,7.0,110.0,228.0,15.0,0.0,0.0,0.0,64.1,44.9,705.4,1462.0,96.2,0.0,0.0,0.0
1983,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33648,11.0,2.0,119.0,210.0,16.0,1.0,1.0,0.0,32.7,5.9,353.7,624.1,47.6,3.0,3.0,0.0
1983,15,29.0,Coles,5,Central,Mostly Urban,24.3,52780,45.0,5.0,358.0,800.0,28.0,1.0,14.0,7.0,85.3,9.5,678.3,1515.7,53.1,1.9,26.5,13.3
1983,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5213812,16605.0,2592.0,73582.0,179217.0,52037.0,816.0,25896.0,2526.0,318.5,49.7,1411.3,3437.4,998.1,15.7,496.7,48.4
1983,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21229,14.0,1.0,62.0,221.0,19.0,0.0,0.0,0.0,65.9,4.7,292.1,1041.0,89.5,0.0,0.0,0.0
1983,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10955,5.0,0.0,22.0,104.0,4.0,1.0,2.0,0.0,45.6,0.0,200.8,949.3,36.5,9.1,18.3,0.0
1983,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,73711,49.0,17.0,550.0,1953.0,75.0,0.0,8.0,6.0,66.5,23.1,746.2,2649.5,101.7,0.0,10.9,8.1
1983,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17673,29.0,12.0,147.0,386.0,6.0,0.0,2.0,3.0,164.1,67.9,831.8,2184.1,34.0,0.0,11.3,17.0
1983,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19763,7.0,0.0,82.0,227.0,9.0,2.0,1.0,1.0,35.4,0.0,414.9,1148.6,45.5,10.1,5.1,5.1
1983,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,690201,643.0,197.0,6057.0,15058.0,1788.0,10.0,178.0,62.0,93.2,28.5,877.6,2181.7,259.1,1.4,25.8,9.0
1983,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21674,43.0,7.0,260.0,532.0,30.0,0.0,3.0,1.0,198.4,32.3,1199.6,2454.6,138.4,0.0,13.8,4.6
1983,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8165,2.0,0.0,8.0,29.0,3.0,0.0,0.0,0.0,24.5,0.0,98.0,355.2,36.7,0.0,0.0,0.0
1983,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31400,14.0,4.0,251.0,557.0,23.0,0.0,10.0,1.0,44.6,12.7,799.4,1773.9,73.2,0.0,31.8,3.2
1983,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22397,8.0,1.0,12.0,212.0,6.0,0.0,0.0,0.0,35.7,4.5,53.6,946.6,26.8,0.0,0.0,0.0
